Datum,CDU,SPD
2014-01-17,43.0,24.0
2014-01-31,43.0,25.0
2014-02-21,43.0,24.0
2014-03-14,41.0,25.0
2014-03-28,41.0,25.0
2014-04-11,41.0,25.0
2014-05-09,40.0,25.0
2014-06-05,39.0,26.0
2014-06-27,39.0,25.0
2014-07-18,41.0,24.0
2014-08-22,41.0,25.0
2014-09-05,42.0,25.0
2014-09-26,41.0,26.0
2014-10-10,41.0,25.0
2014-10-24,41.0,26.0
2014-11-14,41.0,26.0
2014-11-28,41.0,26.0
2014-12-12,42.0,25.0
2015-01-16,42.0,25.0
2015-01-30,41.0,25.0
2015-02-27,41.0,25.0
2015-03-13,43.0,24.0
2015-03-27,41.0,25.0
2015-04-17,41.0,26.0
2015-05-22,40.0,26.0
2015-06-12,41.0,25.0
2015-07-03,41.0,26.0
2015-07-24,41.0,25.0
2015-08-21,42.0,26.0
2015-09-11,42.0,26.0
2015-09-25,41.0,26.0
2015-10-09,41.0,25.0
2015-10-23,39.0,25.0
2015-11-13,39.0,26.0
2015-11-27,39.0,25.0
2015-12-11,39.0,24.0
2016-01-15,37.0,24.0
2016-01-29,37.0,24.0
2016-02-19,36.0,25.0
2016-03-18,35.0,23.0
2016-04-08,36.0,22.0
2016-04-22,33.0,22.0
2016-05-13,33.0,21.0
2016-06-03,33.0,21.0
2016-06-24,34.0,22.0
2016-07-08,34.0,23.0
2016-07-22,35.0,24.0
2016-08-12,35.0,22.0
2016-09-23,33.0,22.0
2016-10-14,34.0,22.0
2016-10-28,33.0,23.0
2016-11-11,34.0,22.0
2016-11-25,36.0,21.0
2016-12-09,36.0,22.0
2017-01-13,36.0,21.0
2017-01-27,36.0,24.0
2017-02-17,34.0,30.0
2017-03-10,34.0,32.0
2017-04-07,35.0,32.0
2017-04-28,37.0,29.0
2017-05-19,38.0,27.0
2017-06-02,39.0,25.0
2017-06-23,39.0,25.0
2017-07-07,40.0,24.0
2017-07-21,40.0,24.0
2017-08-11,40.0,24.0
2017-08-25,39.0,22.0
2017-09-01,39.0,22.0
2017-09-08,38.0,22.0
2017-09-15,36.0,23.0
2017-09-21,36.0,22.0
2017-09-29,32.0,21.0
2017-10-13,31.0,21.0
2017-10-27,33.0,21.0
2017-11-17,33.0,21.0
2017-12-08,32.0,23.0
2018-01-19,33.0,20.0
2018-02-02,31.0,19.0
2018-02-23,33.0,17.0
2018-03-16,32.0,19.0
2018-04-13,33.0,19.0
2018-04-27,34.0,20.0
2018-05-18,34.0,20.0
2018-06-08,33.0,20.0
2018-06-29,32.0,18.0
2018-07-13,31.0,18.0
2018-08-10,31.0,18.0
2018-08-31,31.0,18.0
2018-09-14,30.0,20.0
2018-09-28,28.0,17.0
2018-10-19,27.0,14.0
2018-11-09,27.0,14.0
2018-11-23,27.0,14.0
2018-12-14,30.0,15.0
2019-01-11,29.0,14.0
2019-01-25,31.0,14.0
2019-02-08,30.0,16.0
2019-02-22,31.0,15.0
2019-03-15,31.0,16.0
2019-03-28,30.0,15.0
2019-04-12,28.0,17.0
2019-05-10,30.0,16.0
2019-06-06,27.0,13.0
2019-06-21,27.0,14.0
2019-07-19,28.0,13.0
2019-08-09,28.0,13.0
2019-09-05,28.0,15.0
2019-09-27,27.0,13.0
2019-10-18,29.0,14.0
2019-11-08,27.0,14.0
2019-11-29,27.0,13.0
2019-12-13,27.0,13.0
2020-01-16,27.0,14.0
2020-02-07,27.0,14.0
2020-03-06,26.0,16.0
2020-03-27,33.0,15.0
2020-04-09,35.0,17.0
2020-04-24,39.0,16.0
2020-05-15,38.0,15.0
2020-05-29,39.0,15.0
2020-06-12,39.0,15.0
2020-06-26,40.0,15.0
2020-07-10,39.0,15.0
2020-07-31,38.0,14.0
2020-08-28,38.0,16.0
2020-09-17,37.0,17.0
2020-10-09,37.0,16.0
2020-10-23,38.0,15.0
2020-11-13,37.0,16.0
2020-11-27,37.0,16.0
2020-12-10,37.0,16.0
2021-01-15,37.0,15.0
2021-01-28,37.0,15.0
2021-02-26,35.0,16.0
2021-03-26,28.0,15.0
2021-04-16,31.0,14.0
2021-05-07,25.0,14.0
2021-05-21,24.0,14.0
2021-06-10,28.0,15.0
2021-06-25,29.0,14.0
2021-07-16,30.0,15.0
2021-07-30,28.0,16.0
2021-08-13,26.0,19.0
2021-08-27,22.0,22.0
2021-09-03,22.0,25.0
2021-09-10,22.0,25.0
2021-09-17,22.0,25.0
2021-09-23,23.0,25.0
2021-10-01,20.0,28.0
2021-10-15,19.0,28.0
2021-10-29,20.0,27.0
2021-11-12,20.0,28.0
2021-11-26,19.0,28.0
