country_nid;country_title;country_countrynme_eng;country_countrynme_alt;country_nme2;country_cow;country_imfcode;country_wdicode;country_banks;country_sedepe;country_politycode;country_region;country_country_legislature;country_country_ppltn_year;country_country_population;country_country_ppltn_source;country_num_persons;country_num_ethnicity;country_num_ethnocultural;country_num_language;country_num_offices;party_nid;party_name;party_name_local;party_year_founded;party_notes;country_mps_statutory;country_mps_actual;country_mps_statutory_upper;country_mps_actual_upper;country_country_exec_statutory;country_exec_actual;country_cabinet_statutory;country_cabinet_actual;country_pleader_statutory;country_pleader_actual;country_asleader_statutory;country_asleader_actual;country_sp_court_statutory;country_sp_court_actual;country_seat_numbers_notes;country_last_election_year
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;619;"Justice and Development Party";"Adalet ve Kalkınma Partisi";2001;Unicameral;;;;;;;;;;;;;;;;
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;250571;"Peoples' Democratic Party";"Halkların Demokratik Partisi";;Unicameral;;;;;;;;;;;;;;;;
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;;;;;;550;549;0;0;2;2;26;26;4;4;30;30;17;17;https://www.tbmm.gov.tr/develop/owa/tbmm_internet.anasayfa;2015
608;Turkey;Turkey;"Republic of Turkey";Türkiye;640;186;TUR;1170;792;640;MENA;"Grand National Assembly of Turkey";2009;72561312;"Turkiye Istatistik Kurumu";1014;12;4;5;589;84780;"Democratic Left Party";"Demokratik Sol Parti";1985;;;;;;;;;;;;;;;;;
